oil	kos	cor	pvalue	p.adjust	abs_cor	cor2
¦Á.Pinene	K19613	0.413300769788321	0.00350337433877213	0.0236372244543662	0.413300769788321	1
¦Á.Pinene	K14514	0.437947893062182	0.00185131358399257	0.0172789267839306	0.437947893062182	1
¦Á.Pinene	K04733	0.403094472044961	0.00450118854853173	0.026391474213729	0.403094472044961	1
¦Á.Pinene	K13428	0.408251909734425	0.00396958210341794	0.0252609770217505	0.408251909734425	1
¦Á.Pinene	K13457	0.385287739811863	0.00684555090379771	0.0348084453490571	0.385287739811863	1
¦Á.Pinene	K07874	0.401682962782581	0.00465713460761775	0.0266121977578157	0.401682962782581	1
¦Á.Pinene	K13459	0.396308369821982	0.00529504838951779	0.0296522709812996	0.396308369821982	1
¦Á.Pinene	K07478	0.550542901145851	5.0296312162148e-05	0.00216661037006176	0.550542901145851	1
¦Á.Pinene	K21867	-0.496036928090883	0.00033661755519913	0.00662544436944136	0.496036928090883	-1
¦Á.Pinene	K20725	0.60363736493844	5.57695908433594e-06	0.000569167899044561	0.60363736493844	1
¦Á.Pinene	K13412	0.525678622600856	0.000124627368450216	0.00387729590734007	0.525678622600856	1
¦Á.Pinene	K17422	0.459337687269012	0.00102299733555908	0.0122489636212407	0.459337687269012	1
¦Á.Pinene	K22038	0.49245386611715	0.000377293928444295	0.00704281999762684	0.49245386611715	1
¦Á.Pinene	K20599	0.515200880768576	0.000178933306396063	0.00501013257908976	0.515200880768576	1
¦Á.Pinene	K01303	0.564820860222999	2.88901074554566e-05	0.00134820501458798	0.564820860222999	1
¦Á.Pinene	K14497	-0.472475581172699	0.000696960249850639	0.0100076343568297	0.472475581172699	-1
¦Á.Pinene	K14488	0.404886003031827	0.00430985580250749	0.0260821805765333	0.404886003031827	1
¦Á.Pinene	K14494	0.418783940384488	0.0030522636053267	0.0221982807660123	0.418783940384488	1
¦Á.Pinene	K14496	0.531324659650375	0.000102050977708504	0.00357178421979764	0.531324659650375	1
¦Á.Pinene	K20412	-0.42942454867012	0.00232059973462816	0.0199928592521811	0.42942454867012	-1
¦Á.Pinene	K13448	-0.427850172954389	0.00241797131451012	0.0204950403763957	0.427850172954389	-1
¦Á.Pinene	K11649	0.599185681880166	6.80908649007708e-06	0.000569167899044561	0.599185681880166	1
¦Á.Pinene	K01892	0.464115103233989	0.000891319272293638	0.0112463106769475	0.464115103233989	1
¦Á.Pinene	K14516	0.366938119400928	0.010306158499768	0.0435332140975191	0.366938119400928	1
¦Á.Pinene	K14491	-0.465418034860801	0.000858148541019133	0.0111758879760631	0.465418034860801	-1
¦Á.Pinene	K14504	-0.393159618390519	0.00570316953890993	0.0307093744402842	0.393159618390519	-1
¦Á.Pinene	K13426	0.426246548603525	0.00252085083355431	0.0204950403763957	0.426246548603525	1
¦Á.Pinene	K20772	-0.495928350455315	0.000337789438844483	0.00662544436944136	0.495928350455315	-1
¦Á.Pinene	K12126	-0.371606957730338	0.00930713223136238	0.0407187035122104	0.371606957730338	-1
¦Á.Pinene	K14802	0.384636273998457	0.00694843036791377	0.0348084453490571	0.384636273998457	1
¦Á.Pinene	K11340	0.439522268777913	0.00177451355845651	0.0172789267839306	0.439522268777913	1
¦Á.Thujene	K14514	0.408829317462522	0.00391364261741572	0.0252609770217505	0.408829317462522	1
¦Á.Thujene	K07874	0.426477016781864	0.00250583113418832	0.0204950403763957	0.426477016781864	1
¦Á.Thujene	K07478	0.674522218291865	1.46699715263767e-07	4.10759202738547e-05	0.674522218291865	1
¦Á.Thujene	K21867	-0.415508292897227	0.00331515256719924	0.0229195733040935	0.415508292897227	-1
¦Á.Thujene	K20725	0.675336727491219	1.39887025313441e-07	4.10759202738547e-05	0.675336727491219	1
¦Á.Thujene	K13412	0.467256777362864	0.00081321906309452	0.0108429208412603	0.467256777362864	1
¦Á.Thujene	K17422	0.433101691603278	0.00210657585144977	0.0187251186795535	0.433101691603278	1
¦Á.Thujene	K22038	0.479148611673436	0.000570137672149077	0.00886880823343009	0.479148611673436	1
¦Á.Thujene	K03515	0.398077796031047	0.00507708977634823	0.028718891664192	0.398077796031047	1
¦Á.Thujene	K20599	0.459165985982612	0.00102803801821127	0.0122489636212407	0.459165985982612	1
¦Á.Thujene	K01303	0.565269384351821	2.83794700873614e-05	0.00134820501458798	0.565269384351821	1
¦Á.Thujene	K14497	-0.490008734331492	0.000407547550724542	0.00736214930341108	0.490008734331492	-1
¦Á.Thujene	K20728	0.387543477052732	0.00649947763252174	0.0340159577029175	0.387543477052732	1
¦Á.Thujene	K14488	0.424359292863543	0.00264686921590153	0.020586760568123	0.424359292863543	1
¦Á.Thujene	K14494	0.402693348160721	0.00454503331418125	0.026391474213729	0.402693348160721	1
¦Á.Thujene	K14496	0.511131672901411	0.00020527236703027	0.00522511479713414	0.511131672901411	1
¦Á.Thujene	K01772	0.436088225334243	0.00194582227354673	0.0178632864456749	0.436088225334243	1
¦Á.Thujene	K20412	-0.469428801894475	0.000762871651227826	0.0106802031171896	0.469428801894475	-1
¦Á.Thujene	K13448	-0.438368851092435	0.00183049491115533	0.0172789267839306	0.438368851092435	-1
¦Á.Thujene	K11649	0.545666862954029	6.04336389568497e-05	0.00241734555827399	0.545666862954029	1
¦Á.Thujene	K01892	0.438640354158886	0.00181717815945936	0.0172789267839306	0.438640354158886	1
¦Á.Thujene	K14491	-0.488271114706203	0.000430360241560194	0.0075313042273034	0.488271114706203	-1
¦Á.Thujene	K14495	-0.362890998618945	0.011245481067831	0.0466479214665584	0.362890998618945	-1
