oil	kos	cor	pvalue	p.adjust	abs_cor	cor2
¦Á.Pinene	K07874	0.513897949141764	0.000187011847497914	0.0041329130341898	0.513897949141764	1
¦Á.Pinene	K20725	0.501737253958185	0.00028001936616503	0.00560038732330061	0.501737253958185	1
¦Á.Pinene	K22038	0.454125960761764	0.00118625772893734	0.013224396578383	0.454125960761764	1
¦Á.Pinene	K20181	0.446254082183108	0.00147710255386973	0.0159072582724433	0.446254082183108	1
¦Á.Pinene	K20599	0.481161792018113	0.000536185214770263	0.00811523568300938	0.481161792018113	1
¦Á.Pinene	K01303	0.465743767767504	0.000850030700330572	0.0116101754191493	0.465743767767504	1
¦Á.Pinene	K20728	0.529207395756805	0.00011003876388674	0.00385135673603592	0.529207395756805	1
¦Á.Pinene	K14488	0.456134647019766	0.001120765275804	0.0131006104193572	0.456134647019766	1
¦Á.Pinene	K14487	-0.403203049680528	0.00448938438276978	0.0369714007992806	0.403203049680528	-1
¦Á.Pinene	K13946	0.575950067868685	1.84162439822968e-05	0.00118286917070043	0.575950067868685	1
¦Á.Pinene	K12126	-0.50407167312289	0.000259442382935466	0.00538102720162449	0.50407167312289	-1
¦Á.Pinene	K11340	0.433496210003907	0.00208468689526194	0.0194570776891114	0.433496210003907	1
¦Á.Thujene	K07874	0.583297187964194	1.35565643781957e-05	0.00118286917070043	0.583297187964194	1
¦Á.Thujene	K20725	0.599750273791149	6.63997080034503e-06	0.00118286917070043	0.599750273791149	1
¦Á.Thujene	K22038	0.457862771263646	0.0010670268692689	0.0131006104193572	0.457862771263646	1
¦Á.Thujene	K13436	-0.434133403255793	0.00204975935327539	0.0194553430141393	0.434133403255793	-1
¦Á.Thujene	K20181	0.409698127275167	0.00383077610134142	0.0325035547992605	0.409698127275167	1
¦Á.Thujene	K20599	0.522752004145531	0.000138040012165037	0.00386512034062104	0.522752004145531	1
¦Á.Thujene	K01303	0.461392311127514	0.000964371550397006	0.0128582873386268	0.461392311127514	1
¦Á.Thujene	K20728	0.553649053107701	4.46774060133085e-05	0.00178709624053234	0.553649053107701	1
¦Á.Thujene	K14488	0.523729415184756	0.000133421085125759	0.00386512034062104	0.523729415184756	1
¦Á.Thujene	K14487	-0.438477452319016	0.00182515784465143	0.0182515784465143	0.438477452319016	-1
¦Á.Thujene	K20547	0.417571716202258	0.00314732717077248	0.0279762415179776	0.417571716202258	1
¦Á.Thujene	K13946	0.580419255459809	1.52985653777707e-05	0.00118286917070043	0.580419255459809	1
