oil	kos	cor	pvalue	p.adjust	abs_cor	cor2
¦Á.Pinene	K19613	0.526981554227668	0.000119047261582826	0.0027777694369326	0.526981554227668	1
¦Á.Pinene	K15078	0.498154191984452	0.000314488427629693	0.0045596113001622	0.498154191984452	1
¦Á.Pinene	K04733	0.47220413708378	0.000702617585921592	0.00786567847259699	0.47220413708378	1
¦Á.Pinene	K13457	0.608849091445688	4.39770877684985e-06	0.000307839614379489	0.608849091445688	1
¦Á.Pinene	K08286	0.457111845739875	0.00109008820880163	0.0111147588690058	0.457111845739875	1
¦Á.Pinene	K13415	0.384799140451809	0.00692258544520652	0.0339961614571524	0.384799140451809	1
¦Á.Pinene	K13459	0.425678620243035	0.00255820321602641	0.0178247501567515	0.425678620243035	1
¦Á.Pinene	K07478	0.540988069215897	7.18858268897112e-05	0.00182982104810174	0.540988069215897	1
¦Á.Pinene	K20725	0.559120534355697	3.61583010323293e-05	0.0011249249210058	0.559120534355697	1
¦Á.Pinene	K10863	0.520684051364743	0.000148295790469411	0.00308581389453391	0.520684051364743	1
¦Á.Pinene	K05391	-0.385287739811863	0.00684555090379771	0.0339961614571524	0.385287739811863	-1
¦Á.Pinene	K17422	0.40917481963675	0.00388050223513569	0.0244166432772583	0.40917481963675	1
¦Á.Pinene	K20181	0.425895775514171	0.00254386363631928	0.0178247501567515	0.425895775514171	1
¦Á.Pinene	K13420	0.374267109801745	0.00877617176839833	0.0387329605838194	0.374267109801745	1
¦Á.Pinene	K20718	0.417426719939893	0.00315887077234798	0.0208113839119396	0.417426719939893	1
¦Á.Pinene	K20599	0.387133559616514	0.0065612113931801	0.0334025307289169	0.387133559616514	1
¦Á.Pinene	K14497	-0.385504895082999	0.00681155303951595	0.0339961614571524	0.385504895082999	-1
¦Á.Pinene	K14494	0.446959836814298	0.00144865331552438	0.0135207642782276	0.446959836814298	1
¦Á.Pinene	K20716	0.380076013304615	0.00770691397891428	0.0359655985682666	0.380076013304615	1
¦Á.Pinene	K04421	-0.384907718087377	0.0069054019101261	0.0339961614571524	0.384907718087377	-1
¦Á.Pinene	K13448	0.403474493769448	0.00445999250853926	0.0264609217138531	0.403474493769448	1
¦Á.Pinene	K20714	0.507166135736569	0.000234278727717699	0.00409987773505974	0.507166135736569	1
¦Á.Pinene	K01892	0.440390889862454	0.00173336448013111	0.0145141817823535	0.440390889862454	1
¦Á.Pinene	K14495	-0.401031496969175	0.0047306906831834	0.0270325181896194	0.401031496969175	-1
¦Á.Pinene	K14489	-0.570141164365815	2.33427104437446e-05	0.0008714611898998	0.570141164365815	-1
¦Á.Pinene	K18834	0.467263854665451	0.000813050285232881	0.00875592614866179	0.467263854665451	1
¦Á.Pinene	K02183	0.582736170091664	1.38810797216908e-05	0.000706673149467893	0.582736170091664	1
¦Á.Pinene	K13447	0.433007610643853	0.00211182570967506	0.0157682986322405	0.433007610643853	1
¦Á.Pinene	K14504	0.43311618827942	0.00210576794476826	0.0157682986322405	0.43311618827942	1
¦Á.Pinene	K12126	-0.47942454984903	0.000565372314628195	0.00688279339547368	0.47942454984903	-1
¦Á.Pinene	K11340	0.364549411418439	0.0108520396189095	0.0450158680488097	0.364549411418439	1
¦Á.Pinene	K20536	0.512486439879384	0.000196136336318356	0.00392272672636711	0.512486439879384	1
¦Á.Thujene	K19613	0.524761126837271	0.000128698606727028	0.00288284879068544	0.524761126837271	1
¦Á.Thujene	K15078	0.449663378656813	0.00134413545960945	0.0127578958878185	0.449663378656813	1
¦Á.Thujene	K04733	0.393842348194405	0.00561242237897615	0.0299329193545395	0.393842348194405	1
¦Á.Thujene	K13457	0.577432721728844	1.73224529066928e-05	0.000796358058133625	0.577432721728844	1
¦Á.Thujene	K08286	0.395579967819694	0.00538712011217977	0.0294399290599528	0.395579967819694	1
¦Á.Thujene	K13459	0.435708121041211	0.00196565800317947	0.0150790202983631	0.435708121041211	1
¦Á.Thujene	K07478	0.618646887216166	2.78106938056917e-06	0.000259566475519789	0.618646887216166	1
¦Á.Thujene	K20725	0.491203347823878	0.000392503271423308	0.0049954961817512	0.491203347823878	1
¦Á.Thujene	K10863	0.502443574774966	0.000273642721399834	0.00425666455510852	0.502443574774966	1
¦Á.Thujene	K05391	-0.395362765366533	0.00541484409495561	0.0294399290599528	0.395362765366533	-1
¦Á.Thujene	K13420	0.387271973986281	0.00654030936214858	0.0334025307289169	0.387271973986281	1
¦Á.Thujene	K20718	0.403996562879687	0.00440393656461626	0.0264609217138531	0.403996562879687	1
¦Á.Thujene	K20599	0.413119065912455	0.00351927777651911	0.0226528224695483	0.413119065912455	1
¦Á.Thujene	K14497	-0.425282403289477	0.00258455113196496	0.0178247501567515	0.425282403289477	-1
¦Á.Thujene	K04421	-0.411870151806778	0.00363031618818912	0.023102012106658	0.411870151806778	-1
¦Á.Thujene	K20714	0.440323673170885	0.00173651817753158	0.0145141817823535	0.440323673170885	1
¦Á.Thujene	K01892	0.380592998551576	0.00761746919683143	0.0359655985682666	0.380592998551576	1
¦Á.Thujene	K14495	-0.405897084344847	0.00420505196061057	0.0258772428345266	0.405897084344847	-1
¦Á.Thujene	K14489	-0.535404047042166	8.8133629410807e-05	0.00214586228130661	0.535404047042166	-1
¦Á.Thujene	K18834	0.4257168081958	0.00255567635582986	0.0178247501567515	0.4257168081958	1
¦Á.Thujene	K02183	0.504344096240126	0.000257132614904602	0.0041640217462366	0.504344096240126	1
¦Á.Thujene	K13447	0.413770673271938	0.00346253930580761	0.0225467675727007	0.413770673271938	1
¦Á.Thujene	K14504	0.378746777699707	0.00794107690116729	0.036006367093331	0.378746777699707	1
¦Á.Thujene	K12126	-0.438911857225338	0.0018039475334095	0.0148560385104312	0.438911857225338	-1
¦Á.Thujene	K11340	0.395525667206404	0.00539403946697699	0.0294399290599528	0.395525667206404	1
¦Á.Thujene	K20536	0.424902298996445	0.00261005270152433	0.0178247501567515	0.424902298996445	1
¦Â.Pinene	K19613	0.620483745002482	2.54768450856328e-06	0.000259566475519789	0.620483745002482	1
¦Â.Pinene	K15078	0.625424161556443	2.00699357839036e-06	0.000259566475519789	0.625424161556443	1
¦Â.Pinene	K09286	0.450500841371125	0.00131315264524096	0.01267871519543	0.450500841371125	1
¦Â.Pinene	K04733	0.384429556248366	0.00698135458495093	0.0339961614571524	0.384429556248366	1
¦Â.Pinene	K13457	0.671082296961736	1.79036419077627e-07	0.000100260394683471	0.671082296961736	1
¦Â.Pinene	K08286	0.575857125141423	1.84868834923877e-05	0.000796358058133625	0.575857125141423	1
